geracao,melhor_fitness,tempo_acumulado,melhoria
1,-1.0277777777777786e-05,3.792405605316162,0
2,-1.0277777777777786e-05,5.636639833450317,1
3,-1.0277777777777786e-05,7.71933650970459,2
4,-1.0277777777777786e-05,9.559710025787354,3
5,-1.0277777777777786e-05,11.12669849395752,4
6,-1.0277777777777786e-05,12.848467111587524,5
7,-7.847222222222228e-06,14.790203332901001,0
8,-7.847222222222228e-06,16.630621433258057,1
9,-7.847222222222228e-06,18.53623127937317,2
10,-7.847222222222228e-06,20.4066264629364,3
11,-7.847222222222228e-06,22.216735124588013,4
12,-7.847222222222228e-06,24.12064290046692,5
13,-7.847222222222228e-06,25.84354543685913,6
14,-7.847222222222228e-06,27.58934259414673,7
15,-7.847222222222228e-06,29.622199058532715,8
16,-7.847222222222228e-06,31.67383885383606,9
17,-7.847222222222228e-06,33.568347454071045,10
18,-7.847222222222228e-06,35.77314567565918,11
19,-7.847222222222228e-06,37.7590115070343,12
20,-7.847222222222228e-06,39.30605912208557,13
21,-2.9166666666666687e-06,41.20303654670715,0
22,-2.9166666666666687e-06,42.99599361419678,1
23,-1.5972222222222226e-06,44.82913255691528,0
24,-1.5972222222222226e-06,46.953933238983154,1
25,-6.944444444444445e-07,48.85662031173706,0
26,-6.944444444444445e-07,50.92821383476257,1
27,-6.944444444444445e-07,52.960532903671265,2
28,-6.944444444444445e-07,55.11811900138855,3
29,-6.944444444444445e-07,57.083081007003784,4
30,-6.944444444444445e-07,59.120099782943726,5
31,-0.0,61.17987132072449,0
32,-0.0,63.61424899101257,1
33,-0.0,65.81953120231628,2
34,-0.0,67.80258369445801,3
35,-0.0,69.89382266998291,4
36,-0.0,72.07781529426575,5
37,-0.0,74.47074103355408,6
38,-0.0,76.54669547080994,7
39,-0.0,79.03633785247803,8
40,-0.0,81.21223044395447,9
41,-0.0,83.60464787483215,10
42,-0.0,86.17962217330933,11
43,-0.0,88.46439385414124,12
44,-0.0,90.9577784538269,13
45,-0.0,93.30161118507385,14
46,-0.0,95.7849771976471,15
47,-0.0,98.16921186447144,16
48,-0.0,100.8110601902008,17
49,-0.0,103.18666791915894,18
50,-0.0,105.61176681518555,19
51,-0.0,108.09030413627625,20
52,-0.0,110.510413646698,21
53,-0.0,113.01003766059875,22
54,-0.0,115.45332789421082,23
55,-0.0,118.02676773071289,24
56,-0.0,120.40498208999634,25
57,-0.0,122.94270086288452,26
58,-0.0,125.36764931678772,27
59,-0.0,127.4775812625885,28
60,-0.0,129.89990973472595,29
61,-0.0,132.55149245262146,30
62,-0.0,135.11173152923584,31
63,-0.0,137.45434594154358,32
64,-0.0,139.8617603778839,33
65,-0.0,141.93487548828125,34
66,-0.0,144.2527425289154,35
67,-0.0,146.60324573516846,36
68,-0.0,148.96682691574097,37
69,-0.0,151.19045495986938,38
70,-0.0,153.5186424255371,39
71,-0.0,156.15282034873962,40
72,-0.0,158.39195704460144,41
73,-0.0,160.92853665351868,42
74,-0.0,163.2053165435791,43
75,-0.0,165.62798476219177,44
76,-0.0,168.0606894493103,45
77,-0.0,170.7282314300537,46
78,-0.0,173.03906202316284,47
79,-0.0,175.64885258674622,48
80,-0.0,178.03246974945068,49
81,-0.0,180.40483593940735,50
