nome_teste,L,W,H,volume_container,num_caixas,volume_caixas,ocupacao_teorica,volume_ocupado,utilizacao_real,fitness,tempo_total,geracoes_executadas,solucoes_invalidas,motivo_parada,sucesso
Pequeno_10,4,5,6,120,10,10,8.333333333333332,10,8.333333333333332,-7.750000000000002e-06,1.3148396015167236,30,19,ESTAGNACAO - 30 geracoes sem melhoria,True
Pequeno_20,4,5,6,120,20,20,16.666666666666664,20,16.666666666666664,-7.937499999999991e-06,9.642873764038086,47,211,ESTAGNACAO - 30 geracoes sem melhoria,True
Pequeno_30,4,5,6,120,30,30,25.0,30,25.0,-8.319444444444412e-06,34.802796363830566,74,657,ESTAGNACAO - 30 geracoes sem melhoria,True
Pequeno_40,4,5,6,120,40,40,33.33333333333333,40,33.33333333333333,-9.15624999999993e-06,63.629907846450806,69,875,ESTAGNACAO - 30 geracoes sem melhoria,True
Pequeno_50,4,5,6,120,50,50,41.66666666666667,50,41.66666666666667,-8.759999999999889e-06,137.86166977882385,96,1571,ESTAGNACAO - 30 geracoes sem melhoria,True
Pequeno_60,4,5,6,120,60,60,50.0,0,0.0,-inf,59.82701659202576,30,1550,ESTAGNACAO - 30 geracoes sem melhoria,False
Medio_50,8,10,12,960,50,50,5.208333333333334,50,5.208333333333334,-9.114999999999907e-06,276.12176537513733,124,372,ESTAGNACAO - 30 geracoes sem melhoria,True
Medio_100,8,10,12,960,100,100,10.416666666666668,100,10.416666666666668,-1.0185000000000118e-05,309.592985868454,24,317,TEMPO_MAX - Limite de 0.08333333333333333h,True
Medio_150,8,10,12,960,150,150,15.625,150,15.625,-1.2821111111111434e-05,326.8627030849457,9,384,TEMPO_MAX - Limite de 0.08333333333333333h,True
Medio_200,8,10,12,960,200,200,20.833333333333336,0,0.0,-inf,357.85327339172363,5,300,TEMPO_MAX - Limite de 0.08333333333333333h,False
Grande_100,10,12,15,1800,100,100,5.555555555555555,100,5.555555555555555,-1.03175000000002e-05,492.3233788013458,36,332,TEMPO_MAX - Limite de 0.13333333333333333h,True
Grande_200,10,12,15,1800,200,200,11.11111111111111,200,11.11111111111111,-1.3487812499999243e-05,519.9327700138092,6,257,TEMPO_MAX - Limite de 0.13333333333333333h,True
Grande_300,10,12,15,1800,300,300,16.666666666666664,0,0.0,-inf,592.5275285243988,2,150,TEMPO_MAX - Limite de 0.13333333333333333h,False
Extra_100,12,15,18,3240,100,100,3.0864197530864197,100,3.0864197530864197,-1.0241250000000172e-05,606.6180231571198,42,217,TEMPO_MAX - Limite de 0.16666666666666666h,True
Extra_200,12,15,18,3240,200,200,6.172839506172839,200,6.172839506172839,-1.3028749999999078e-05,628.40549659729,6,196,TEMPO_MAX - Limite de 0.16666666666666666h,True
Extra_300,12,15,18,3240,300,300,9.25925925925926,300,9.25925925925926,-1.5647083333329272e-05,737.7240142822266,2,140,TEMPO_MAX - Limite de 0.16666666666666666h,True
Extra_400,12,15,18,3240,400,400,12.345679012345679,0,0.0,-inf,964.5434596538544,1,100,TEMPO_MAX - Limite de 0.16666666666666666h,False
